,"BTC / Addresses, active, count","BTC / NVT, adjusted, 90d MA","BTC / NVT, adjusted, free float,  90d MA","BTC / NVT, adjusted","BTC / NVT, adjusted, free float","BTC / Flow, in, to exchanges, USD","BTC / Flow, out, from exchanges, USD","BTC / Fees, transaction, mean, USD","BTC / Fees, transaction, median, USD","BTC / Fees, total, USD","BTC / Miner revenue, USD","BTC / Capitalization, market, free float, USD","BTC / Capitalization, realized, USD","BTC / Capitalization, market, current supply, USD","BTC / Capitalization, market, estimated supply, USD","BTC / Volatility, daily returns, 30d","BTC / Volatility, daily returns, 180d","BTC / Difficulty, last","BTC / Difficulty, mean","BTC / Hash rate, mean","BTC / Hash rate, mean, 30d","BTC / Revenue, per hash unit, USD","BTC / Supply, Miner, held by all mining entities, USD","BTC / Block, size, mean, bytes","BTC / Block, weight, mean","BTC / Issuance, continuous, percent, daily",BTC / Network distribution factor,"BTC / Transactions, count","BTC / Transactions, transfers, count","BTC / Transactions, transfers, value, mean, USD"
2009-01-03,0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,0,
2009-01-04,0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,0,
2009-01-05,0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,0,
2009-01-06,0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,0,
2009-01-07,0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,0,
2009-01-08,0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,0,
2009-01-09,19,,,,,,,,,,,,0.0,,,,,1.0,1.0,9.44495122962963e-07,,,,215.0,860.0,100.0,1.0,0,0,
2009-01-10,61,,,,,,,,,,,,0.0,,,,,1.0,1.0,3.0323264474e-06,,,,215.229508196721,860.9180327868852,76.25,1.0,0,0,
2009-01-11,95,,,865.0,865.0,,,,,,,,0.0,,,,,1.0,1.0,4.6230550755e-06,,,,218.365591397849,873.4623655913979,53.757225433526,1.0,1,1,
2009-01-12,101,,,556.25,556.25,,,,,,,,0.0,,,,,1.0,1.0,4.6727653451e-06,,,,231.468085106383,925.872340425532,35.2059925093633,1.0,6,6,
2009-01-13,123,,,,,,,,,,,,0.0,,,,,1.0,1.0,6.1143631644e-06,,,,215.691056910569,862.7642276422764,31.5384615384615,0.999897435897,0,0,
2009-01-14,133,,,425.40983607,425.40983607,,,,,,,,0.0,,,,,1.0,1.0,6.4126247822e-06,,,,219.193798449612,876.7751937984497,24.8554913294798,0.999961464355,1,1,
2009-01-15,140,,,91.88034188,91.88034188,,,,,,,,0.0,,,,,1.0,1.0,6.2634939733e-06,,,,238.571428571429,954.2857142857144,19.5348837209302,0.999937984496,8,7,
2009-01-16,114,,,188.25,188.25,,,,,,,,0.0,,,,,1.0,1.0,5.36870912e-06,,,,220.87037037037,883.4814814814815,14.3426294820717,0.99994687915,2,2,
2009-01-17,109,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.4184193896e-06,,,,215.862385321101,863.4495412844037,12.6450116009281,0.999953596288,0,0,
2009-01-18,111,,,323.0,323.0,,,,,,,,0.0,,,,,1.0,1.0,5.3189988503e-06,,,,219.943925233645,879.7757009345794,11.0423116615067,0.99995872033,1,1,
2009-01-19,133,,,69.93548387,69.93548387,,,,,,,,0.0,,,,,1.0,1.0,5.7166810074e-06,,,,232.886956521739,931.5478260869564,10.6088560885609,0.999963099631,2,2,
2009-01-20,123,,,149.75,149.75,,,,,,,,0.0,,,,,1.0,1.0,5.6669707377e-06,,,,224.736842105263,898.9473684210526,9.51585976627713,0.999966611018,1,1,
2009-01-21,116,,,108.33333333,108.33333333,,,,,,,,0.0,,,,,1.0,1.0,5.0704475022e-06,,,,230.56862745098,922.2745098039215,7.84615384615385,0.999969230769,2,2,
2009-01-22,95,,,463.66666667,463.66666667,,,,,,,,0.0,,,,,1.0,1.0,4.5236345362e-06,,,,220.450549450549,881.8021978021978,6.54205607476635,0.99997124371,1,1,
2009-01-23,91,,,245.83333333,245.83333333,,,,,,,,0.0,,,,,1.0,1.0,4.1756626488e-06,,,,224.166666666667,896.6666666666666,5.69491525423729,0.999972881356,1,1,
2009-01-24,212,,,167.6,167.6,,,,,,,,0.0,,,,,1.0,1.0,9.9917641955e-06,,,,222.054726368159,888.2189054726368,11.9928400954654,0.999976133652,1,1,
2009-01-25,193,,,1867.0,1867.0,,,,,,,,0.0,,,,,1.0,1.0,9.4946614992e-06,,,,217.0,868.0,10.2303160149973,0.999978575254,1,1,
2009-01-26,117,,,98.15,98.15,,,,,,,,0.0,,,,,1.0,1.0,4.7721858844e-06,,,,239.958333333333,959.8333333333334,4.89047376464595,0.999979623026,1,1,
2009-01-27,101,,,686.66666667,686.66666667,,,,,,,,0.0,,,,,1.0,1.0,4.821896154e-06,,,,220.309278350515,881.2371134020618,4.70873786407767,0.999980582524,1,1,
2009-01-28,112,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.5675501985e-06,,,,215.642857142857,862.5714285714286,5.15653775322284,0.999797421731,0,0,
2009-01-29,134,,,191.08333333,191.08333333,,,,,,,,0.0,,,,,1.0,1.0,6.0149426251e-06,,,,227.256198347107,909.0247933884298,5.27692978630615,0.999808111644,1,1,
2009-01-30,117,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.8161015466e-06,,,,215.846153846154,863.3846153846154,4.85477178423237,0.999817427386,0,0,
2009-01-31,159,,,127.4,127.4,,,,,,,,0.0,,,,,1.0,1.0,6.8600172088e-06,,,,232.492753623188,929.9710144927536,5.4160125588697,0.999827315542,1,1,
2009-02-01,116,,,1330.5,1330.5,,,,,,,,0.0,,,,,1.0,1.0,5.6172604681e-06,,,,218.194690265487,872.7787610619469,4.24652386320932,0.999834648628,1,1,
2009-02-02,130,,,2789.0,2789.0,,,,,,,,0.0,,,,,1.0,1.0,6.3629145125e-06,,,,217.1015625,868.40625,4.58945858730728,0.999842237361,1,1,
2009-02-03,154,,,2757.06214689,2757.06214689,,,,,,,,0.0,,,,,1.0,1.0,6.9097274785e-06,,,,248.460431654676,993.841726618705,4.74726775956284,0.999849180328,16,12,
2009-02-04,119,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.9155220859e-06,,,,215.747899159664,862.9915966386554,3.90548080078766,0.999756547424,0,0,
2009-02-05,126,,,,,,,,,,,,0.0,,,,,1.0,1.0,6.2634939733e-06,,,,215.753968253968,863.015873015873,3.97100535770564,0.999766214939,0,0,
2009-02-06,122,,,,,,,,,,,,0.0,,,,,1.0,1.0,6.0646528948e-06,,,,215.819672131148,863.2786885245902,3.70257966616085,0.999774871017,0,0,
2009-02-07,156,,,148.86956522,148.86956522,,,,,,,,0.0,,,,,1.0,1.0,6.4126247822e-06,5.6735987737e-06,,,240.325581395349,961.3023255813954,3.76752336448598,0.999771670561,4,4,
2009-02-08,134,,,177.8,177.8,,,,,,,,0.0,,,,,1.0,1.0,6.5617555911e-06,5.8608407893e-06,,,217.575757575758,870.3030303030303,3.71203599550056,0.999780146232,1,1,
2009-02-09,179,,,83.86363636,83.86363636,,,,,,,,0.0,,,,,1.0,1.0,6.6611761303e-06,5.9818024454e-06,,,253.597014925373,1014.3880597014926,3.63143631436314,0.999690569106,1,1,
2009-02-10,120,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.9652323555e-06,6.026541688e-06,,,215.666666666667,862.6666666666666,3.1496062992126,0.999600577428,0,0,
2009-02-11,148,,,358.42847793,358.42847793,,,,,,,,0.0,,,,,1.0,1.0,6.6114658607e-06,6.0911650386e-06,,,229.135338345865,916.5413533834586,3.37306619325387,0.999614253107,2,2,
2009-02-12,119,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.9155220859e-06,6.0845370026e-06,,,215.865546218487,863.4621848739496,2.92959133431807,0.999625553914,0,0,
2009-02-13,124,,,,,,,,,,,,0.0,,,,,1.0,1.0,6.164073434e-06,6.0762519577e-06,,,215.879032258065,863.516129032258,2.96225513616818,0.999636645963,0,0,
2009-02-14,136,,,,,,,,,,,,0.0,,,,,1.0,1.0,6.7605966696e-06,6.0928220476e-06,,,215.786764705882,863.1470588235294,3.1466913465988,0.999648079593,0,0,
2009-02-15,142,,,404.54545455,404.54545455,,,,,,,,0.0,,,,,1.0,1.0,6.3629145125e-06,6.1259622273e-06,,,229.40625,917.625,2.87640449438202,0.999658202247,3,3,
2009-02-16,153,,,152.4,152.4,,,,,,,,0.0,,,,,1.0,1.0,6.0646528948e-06,6.1475033441e-06,,,244.155737704918,976.6229508196722,2.66841644794401,0.999667322835,1,1,
2009-02-17,117,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.8161015466e-06,6.164073434e-06,,,215.923076923077,863.6923076923077,2.49520153550864,0.9996756238,0,0,
2009-02-18,118,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.8658118162e-06,6.169044461e-06,,,215.940677966102,863.7627118644068,2.45475348450177,0.999583732057,0,0,
2009-02-19,141,,,308.1875,308.1875,,,,,,,,0.0,,,,,1.0,1.0,6.164073434e-06,6.1856145509e-06,,,231.048387096774,924.1935483870968,2.51470290002028,0.999594199959,1,1,
2009-02-20,122,,,,,,,,,,,,0.0,,,,,1.0,1.0,6.0646528948e-06,6.2187547306e-06,,,215.852459016393,863.4098360655738,2.4144072828023,0.999406095389,0,0,
2009-02-21,114,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.6669707377e-06,6.2568659373e-06,,,215.956140350877,863.8245614035088,2.20630927036965,0.999419198761,0,0,
2009-02-22,133,,,661.0,661.0,,,,,,,,0.0,,,,,1.0,1.0,6.0149426251e-06,6.3181752699e-06,,,228.553719008264,914.214876033058,2.28819969742814,0.999432488654,4,4,
2009-02-23,108,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.36870912e-06,6.164073434e-06,,,215.990740740741,863.9629629629629,2.00148257968866,0.999443847294,0,0,
2009-02-24,106,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.2692885807e-06,6.0232276701e-06,,,215.924528301887,863.6981132075472,1.92657215557979,0.999454561977,0,0,
2009-02-25,105,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.2195783111e-06,6.038140751e-06,,,215.87619047619,863.504761904762,1.87265917602996,0.999464776173,0,0,
2009-02-26,107,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.3189988503e-06,6.0547108408e-06,,,215.953271028037,863.8130841121496,1.87259362968148,0.99947479874,0,0,
2009-02-27,152,,,161.91666667,161.91666667,,,,,,,,0.0,,,,,1.0,1.0,5.7166810074e-06,6.0596818678e-06,,,251.808695652174,1007.2347826086956,1.97289414993996,0.999485160405,1,1,
2009-02-28,107,,,846.85714286,846.85714286,,,,,,,,0.0,,,,,1.0,1.0,4.9213166933e-06,6.0232276701e-06,,,224.515151515152,898.060606060606,1.67004048582996,0.999493758435,1,1,
2009-03-01,105,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.2195783111e-06,6.0033435622e-06,,,215.961904761905,863.847619047619,1.74042764793635,0.999502569203,0,0,
2009-03-02,108,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.36870912e-06,5.9536332926e-06,,,215.962962962963,863.8518518518518,1.75867122618466,0.999511317375,0,0,
2009-03-03,114,,,780.75,780.75,,,,,,,,0.0,,,,,1.0,1.0,5.2195783111e-06,5.9403772207e-06,,,225.428571428571,901.7142857142856,1.68107588856868,0.999321037464,2,2,
2009-03-04,130,,,264.51059292,264.51059292,,,,,,,,0.0,,,,,1.0,1.0,5.1698680414e-06,5.900609005e-06,,,244.711538461538,978.8461538461538,1.63779527559055,0.99933215748,2,2,
2009-03-05,121,,,807.75,807.75,,,,,,,,0.0,,,,,1.0,1.0,5.5675501985e-06,5.8558697623e-06,,,224.392857142857,897.5714285714286,1.73320953265243,0.999343732591,1,1,
2009-03-06,117,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.8161015466e-06,5.8525557443e-06,,,215.940170940171,863.7606837606837,1.77838577291382,0.999355403557,0,0,
2009-03-07,109,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.4184193896e-06,5.8243865916e-06,,,215.97247706422,863.8899082568807,1.62978468899522,0.999267464115,0,0,
2009-03-08,142,,,283.45833333,283.45833333,,,,,,,,0.0,,,,,1.0,1.0,5.7166810074e-06,5.8127875286e-06,,,243.591304347826,974.3652173913044,1.69043069234161,0.999279847126,3,3,
2009-03-09,108,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.36870912e-06,5.7779903399e-06,,,215.712962962963,862.8518518518518,1.56272608884387,0.999291101143,0,0,
2009-03-10,107,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.3189988503e-06,5.7365651152e-06,,,215.971962616822,863.8878504672897,1.52465089769165,0.999301909376,0,0,
2009-03-11,114,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.6669707377e-06,5.7034249355e-06,,,215.877192982456,863.5087719298245,1.59842961301178,0.999313067863,0,0,
2009-03-12,122,,,2416.66666667,2416.66666667,,,,,,,,0.0,,,,,1.0,1.0,5.8658118162e-06,5.7001109175e-06,,,219.542372881356,878.1694915254237,1.62758620689655,0.999324248276,1,1,
2009-03-13,127,,,490.86666667,490.86666667,,,,,,,,0.0,,,,,1.0,1.0,5.6172604681e-06,5.6669707377e-06,,,229.389380530973,917.5575221238938,1.5347005296754,0.999334619041,1,1,
2009-03-14,110,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.4681296592e-06,5.6520576568e-06,,,215.781818181818,863.1272727272727,1.4719657433427,0.999344413221,0,0,
2009-03-15,123,,,,,,,,,,,,0.0,,,,,1.0,1.0,6.1143631644e-06,5.6504006479e-06,,,215.975609756098,863.9024390243902,1.61927330173776,0.999355028963,0,0,
2009-03-16,170,,,160.77083333,160.77083333,,,,,,,,0.0,,,,,1.0,1.0,6.0149426251e-06,5.625545513e-06,,,261.512396694215,1046.0495867768595,1.56796682648698,0.999365141895,1,1,
2009-03-17,114,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.6669707377e-06,5.6023473872e-06,,,215.956140350877,863.8245614035088,1.45575277742306,0.999374383859,0,0,
2009-03-18,129,,,567.5,567.5,,,,,,,,0.0,,,,,1.0,1.0,5.6669707377e-06,5.5890913153e-06,,,230.710526315789,922.842105263158,1.43486469477659,0.999383360604,2,2,
2009-03-19,122,,,,,,,,,,,,0.0,,,,,1.0,1.0,6.0646528948e-06,5.5973763602e-06,,,215.786885245902,863.1475409836065,1.51233420106607,0.999392686253,0,0,
2009-03-20,131,,,682.08333333,682.08333333,,,,,,,,0.0,,,,,1.0,1.0,5.8658118162e-06,5.5973763602e-06,,,227.864406779661,911.457627118644,1.44166157605376,0.999401441662,1,1,
2009-03-21,50,,,,,,,,,,,,0.0,,,,,1.0,1.0,2.4855134814e-06,5.4747576952e-06,,,215.84,863.36,0.607164541590771,0.999405075896,0,0,
2009-03-22,131,,,759.45454545,759.45454545,,,,,,,,0.0,,,,,1.0,1.0,5.9155220859e-06,5.4697866682e-06,,,227.142857142857,908.5714285714286,1.42446732104381,0.999413550395,2,2,
2009-03-23,130,,,,,,,,,,,,0.0,,,,,1.0,1.0,6.4623350518e-06,5.496298812e-06,,,215.923076923077,863.6923076923077,1.53229608675153,0.999422536539,0,0,
2009-03-24,105,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.2195783111e-06,5.4697866682e-06,,,215.980952380952,863.9238095238095,1.22249388753056,0.999429595995,0,0,
2009-03-25,117,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.8161015466e-06,5.4846997491e-06,,,215.786324786325,863.1452991452992,1.34390075809786,0.999437261659,0,0,
2009-03-26,146,,,315.10714286,315.10714286,,,,,,,,0.0,,,,,1.0,1.0,5.8161015466e-06,5.502926848e-06,,,243.606837606838,974.4273504273503,1.32607956477389,0.999444724017,1,1,
2009-03-27,106,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.2692885807e-06,5.5045838569e-06,,,215.952830188679,863.811320754717,1.18714301713518,0.999451315937,0,0,
2009-03-28,140,,,452.4,452.4,,,,,,,,0.0,,,,,1.0,1.0,5.9155220859e-06,5.5244679648e-06,,,236.235294117647,944.9411764705884,1.31520778072502,0.999458532272,3,3,
