Date,"Cryptocurrency"
2015-07-01,872
2015-07-02,846
2015-07-03,819
2015-07-04,691
2015-07-05,753
2015-07-06,921
2015-07-07,940
2015-07-08,916
2015-07-09,869
2015-07-10,826
2015-07-11,659
2015-07-12,818
2015-07-13,974
2015-07-14,862
2015-07-15,900
2015-07-16,899
2015-07-17,749
2015-07-18,590
2015-07-19,661
2015-07-20,862
2015-07-21,914
2015-07-22,886
2015-07-23,905
2015-07-24,866
2015-07-25,727
2015-07-26,689
2015-07-27,897
2015-07-28,983
2015-07-29,4548
2015-07-30,4175
2015-07-31,1555
2015-08-01,885
2015-08-02,854
2015-08-03,859
2015-08-04,902
2015-08-05,948
2015-08-06,907
2015-08-07,814
2015-08-08,630
2015-08-09,768
2015-08-10,888
2015-08-11,865
2015-08-12,1044
2015-08-13,817
2015-08-14,789
2015-08-15,670
2015-08-16,659
2015-08-17,881
2015-08-18,1043
2015-08-19,1024
2015-08-20,1075
2015-08-21,946
2015-08-22,724
2015-08-23,760
2015-08-24,955
2015-08-25,1054
2015-08-26,1007
2015-08-27,947
2015-08-28,771
2015-08-29,729
2015-08-30,785
2015-08-31,1042
2015-09-01,1045
2015-09-02,933
2015-09-03,958
2015-09-04,815
2015-09-05,624
2015-09-06,635
2015-09-07,863
2015-09-08,1128
2015-09-09,1008
2015-09-10,913
2015-09-11,844
2015-09-12,674
2015-09-13,703
2015-09-14,1035
2015-09-15,1044
2015-09-16,1044
2015-09-17,1042
2015-09-18,925
2015-09-19,700
2015-09-20,700
2015-09-21,1008
2015-09-22,995
2015-09-23,851
2015-09-24,866
2015-09-25,836
2015-09-26,610
2015-09-27,707
2015-09-28,961
2015-09-29,1110
2015-09-30,1015
2015-10-01,904
2015-10-02,789
2015-10-03,672
2015-10-04,769
2015-10-05,960
2015-10-06,1154
2015-10-07,1077
2015-10-08,930
2015-10-09,830
2015-10-10,1042
2015-10-11,1028
2015-10-12,980
2015-10-13,1190
2015-10-14,935
2015-10-15,980
2015-10-16,904
2015-10-17,754
2015-10-18,845
2015-10-19,935
2015-10-20,957
2015-10-21,1086
2015-10-22,865
2015-10-23,1057
2015-10-24,834
2015-10-25,903
2015-10-26,1465
2015-10-27,1134
2015-10-28,1066
2015-10-29,1174
2015-10-30,883
2015-10-31,790
2015-11-01,890
2015-11-02,1145
2015-11-03,1204
2015-11-04,1440
2015-11-05,1325
2015-11-06,1120
2015-11-07,741
2015-11-08,836
2015-11-09,1077
2015-11-10,1125
2015-11-11,988
2015-11-12,1376
2015-11-13,898
2015-11-14,705
2015-11-15,790
2015-11-16,994
2015-11-17,1022
2015-11-18,1064
2015-11-19,1032
2015-11-20,885
2015-11-21,834
2015-11-22,1219
2015-11-23,1450
2015-11-24,1092
2015-11-25,953
2015-11-26,974
2015-11-27,846
2015-11-28,648
2015-11-29,813
2015-11-30,976
2015-12-01,976
2015-12-02,1055
2015-12-03,1034
2015-12-04,909
2015-12-05,721
2015-12-06,787
2015-12-07,996
2015-12-08,1223
2015-12-09,3139
2015-12-10,1615
2015-12-11,1107
2015-12-12,804
2015-12-13,895
2015-12-14,1065
2015-12-15,1018
2015-12-16,1122
2015-12-17,1001
2015-12-18,795
2015-12-19,674
2015-12-20,745
2015-12-21,804
2015-12-22,817
2015-12-23,791
2015-12-24,652
2015-12-25,576
2015-12-26,731
2015-12-27,775
2015-12-28,1216
2015-12-29,910
2015-12-30,883
2015-12-31,677
2016-01-01,629
2016-01-02,765
2016-01-03,744
2016-01-04,1005
2016-01-05,1062
2016-01-06,963
2016-01-07,1127
2016-01-08,991
2016-01-09,781
2016-01-10,858
2016-01-11,1039
2016-01-12,1404
2016-01-13,1051
2016-01-14,998
2016-01-15,1086
2016-01-16,875
2016-01-17,1220
2016-01-18,1326
2016-01-19,1261
2016-01-20,1173
2016-01-21,1222
2016-01-22,1140
2016-01-23,796
2016-01-24,845
2016-01-25,1164
2016-01-26,1163
2016-01-27,1208
2016-01-28,1068
2016-01-29,1027
2016-01-30,778
2016-01-31,931
2016-02-01,1029
2016-02-02,1195
2016-02-03,1425
2016-02-04,1146
2016-02-05,931
2016-02-06,863
2016-02-07,897
2016-02-08,1154
2016-02-09,1128
2016-02-10,1343
2016-02-11,1164
2016-02-12,1252
2016-02-13,984
2016-02-14,870
2016-02-15,1174
2016-02-16,1300
2016-02-17,1278
2016-02-18,1328
2016-02-19,1208
2016-02-20,920
2016-02-21,940
2016-02-22,1121
2016-02-23,1164
2016-02-24,1207
2016-02-25,1101
2016-02-26,1124
2016-02-27,1096
2016-02-28,971
2016-02-29,1105
2016-03-01,1282
2016-03-02,1251
2016-03-03,1266
2016-03-04,1067
2016-03-05,987
2016-03-06,1286
2016-03-07,1395
2016-03-08,1226
2016-03-09,1279
2016-03-10,1226
2016-03-11,1128
2016-03-12,984
2016-03-13,1062
2016-03-14,1337
2016-03-15,1619
2016-03-16,1308
2016-03-17,1117
2016-03-18,1052
2016-03-19,924
2016-03-20,1041
2016-03-21,1204
2016-03-22,1102
2016-03-23,1194
2016-03-24,1024
2016-03-25,943
2016-03-26,839
2016-03-27,1015
2016-03-28,1148
2016-03-29,1256
2016-03-30,1119
2016-03-31,1066
2016-04-01,1032
2016-04-02,872
2016-04-03,923
2016-04-04,1159
2016-04-05,1200
2016-04-06,1219
2016-04-07,1185
2016-04-08,1046
2016-04-09,860
2016-04-10,888
2016-04-11,1282
2016-04-12,1213
2016-04-13,1154
2016-04-14,1036
2016-04-15,951
2016-04-16,738
2016-04-17,921
2016-04-18,1383
2016-04-19,1159
2016-04-20,1253
2016-04-21,1371
2016-04-22,1177
2016-04-23,968
2016-04-24,1067
2016-04-25,1517
2016-04-26,1191
2016-04-27,1191
2016-04-28,1303
2016-04-29,975
2016-04-30,770
2016-05-01,873
2016-05-02,2707
2016-05-03,2055
2016-05-04,1489
2016-05-05,1587
2016-05-06,1407
2016-05-07,1080
2016-05-08,1082
2016-05-09,1295
2016-05-10,1356
2016-05-11,1296
2016-05-12,1203
2016-05-13,1041
2016-05-14,1239
2016-05-15,1196
2016-05-16,1190
2016-05-17,1284
2016-05-18,1261
2016-05-19,1302
2016-05-20,1205
2016-05-21,863
2016-05-22,977
2016-05-23,1344
2016-05-24,1200
2016-05-25,1426
2016-05-26,1189
2016-05-27,1123
2016-05-28,956
2016-05-29,901
2016-05-30,1319
2016-05-31,1374
2016-06-01,1287
2016-06-02,1232
2016-06-03,1159
2016-06-04,927
2016-06-05,989
2016-06-06,1184
2016-06-07,1296
2016-06-08,1260
2016-06-09,1103
2016-06-10,1181
2016-06-11,907
2016-06-12,1095
2016-06-13,1501
2016-06-14,1554
2016-06-15,1751
2016-06-16,1508
2016-06-17,1540
2016-06-18,1454
2016-06-19,1388
2016-06-20,1538
2016-06-21,1617
2016-06-22,1514
2016-06-23,1555
2016-06-24,1627
2016-06-25,1249
2016-06-26,1248
2016-06-27,1450
2016-06-28,1457
2016-06-29,1379
2016-06-30,1426
2016-07-01,1308
2016-07-02,1063
2016-07-03,1048
2016-07-04,1303
2016-07-05,1374
2016-07-06,1231
2016-07-07,1408
2016-07-08,1188
2016-07-09,1179
2016-07-10,1174
2016-07-11,1463
2016-07-12,1492
2016-07-13,1530
2016-07-14,1352
2016-07-15,1250
2016-07-16,1097
2016-07-17,1191
2016-07-18,1365
2016-07-19,1466
2016-07-20,1475
2016-07-21,1365
2016-07-22,1310
2016-07-23,1037
2016-07-24,1130
2016-07-25,1327
2016-07-26,1390
2016-07-27,1336
2016-07-28,1412
2016-07-29,1079
2016-07-30,1030
2016-07-31,994
2016-08-01,1287
2016-08-02,1227
2016-08-03,1790
2016-08-04,1493
2016-08-05,1183
2016-08-06,1012
2016-08-07,1018
2016-08-08,1493
2016-08-09,1565
2016-08-10,1279
2016-08-11,1246
2016-08-12,1049
2016-08-13,1020
2016-08-14,944
2016-08-15,1286
2016-08-16,1328
2016-08-17,1208
2016-08-18,1213
2016-08-19,1089
2016-08-20,912
2016-08-21,1118
2016-08-22,1323
2016-08-23,1446
2016-08-24,1402
2016-08-25,1564
2016-08-26,23551
2016-08-27,1413
2016-08-28,1303
2016-08-29,1506
2016-08-30,1448
2016-08-31,1424
2016-09-01,1411
2016-09-02,1241
2016-09-03,1094
2016-09-04,1113
2016-09-05,1352
2016-09-06,1327
2016-09-07,1750
2016-09-08,1607
2016-09-09,1388
2016-09-10,1163
2016-09-11,1269
2016-09-12,1510
2016-09-13,1637
2016-09-14,1696
2016-09-15,1543
2016-09-16,1470
2016-09-17,1346
2016-09-18,1391
2016-09-19,1479
2016-09-20,1555
2016-09-21,1580
2016-09-22,1606
2016-09-23,1366
2016-09-24,1202
2016-09-25,1241
2016-09-26,1658
2016-09-27,1583
2016-09-28,1618
2016-09-29,1491
2016-09-30,1461
2016-10-01,1249
2016-10-02,1212
2016-10-03,1581
2016-10-04,1643
2016-10-05,1582
2016-10-06,1464
2016-10-07,1400
2016-10-08,1200
2016-10-09,1163
2016-10-10,1421
2016-10-11,1479
2016-10-12,1484
2016-10-13,1496
2016-10-14,1437
2016-10-15,1259
2016-10-16,1291
2016-10-17,1671
2016-10-18,1609
2016-10-19,1561
2016-10-20,1539
2016-10-21,1450
2016-10-22,1209
2016-10-23,1247
2016-10-24,2023
2016-10-25,1522
2016-10-26,1621
2016-10-27,1450
2016-10-28,1474
2016-10-29,1325
2016-10-30,1550
2016-10-31,1932
2016-11-01,1852
2016-11-02,1952
2016-11-03,1759
2016-11-04,1657
2016-11-05,1540
2016-11-06,1671
2016-11-07,1972
2016-11-08,1947
2016-11-09,1975
2016-11-10,2173
2016-11-11,1665
2016-11-12,1531
2016-11-13,1619
2016-11-14,1940
2016-11-15,1943
2016-11-16,2057
2016-11-17,2035
2016-11-18,1843
2016-11-19,1537
2016-11-20,1741
2016-11-21,2019
2016-11-22,2186
2016-11-23,1927
2016-11-24,1949
2016-11-25,1691
2016-11-26,1541
2016-11-27,1673
2016-11-28,2069
2016-11-29,2315
2016-11-30,2583
2016-12-01,2405
2016-12-02,2438
2016-12-03,1495
2016-12-04,1518
2016-12-05,1919
2016-12-06,1881
2016-12-07,1863
2016-12-08,1989
2016-12-09,1819
2016-12-10,1529
2016-12-11,1578
2016-12-12,1849
2016-12-13,2197
2016-12-14,2067
2016-12-15,1829
2016-12-16,1771
2016-12-17,1524
2016-12-18,1508
2016-12-19,1933
2016-12-20,1721
2016-12-21,1751
2016-12-22,1921
2016-12-23,1775
2016-12-24,1543
2016-12-25,1317
2016-12-26,1895
2016-12-27,2001
2016-12-28,2024
2016-12-29,2127
2016-12-30,1846
2016-12-31,1369
2017-01-01,1379
2017-01-02,2586
2017-01-03,3199
2017-01-04,3131
2017-01-05,3308
2017-01-06,2876
2017-01-07,2414
2017-01-08,2198
2017-01-09,2606
2017-01-10,2404
2017-01-11,2455
2017-01-12,2544
2017-01-13,2137
2017-01-14,2025
2017-01-15,1960
2017-01-16,2088
2017-01-17,2129
2017-01-18,2446
2017-01-19,2648
2017-01-20,1892
2017-01-21,1562
2017-01-22,1653
2017-01-23,2135
2017-01-24,2072
2017-01-25,2009
2017-01-26,1934
2017-01-27,1882
2017-01-28,1821
2017-01-29,1668
2017-01-30,2334
2017-01-31,2195
2017-02-01,1998
2017-02-02,2011
2017-02-03,1986
2017-02-04,1572
2017-02-05,1689
2017-02-06,1883
2017-02-07,2050
2017-02-08,1989
2017-02-09,1990
2017-02-10,1802
2017-02-11,1495
2017-02-12,1660
2017-02-13,2084
2017-02-14,1967
2017-02-15,2027
2017-02-16,1982
2017-02-17,1823
2017-02-18,1775
2017-02-19,1789
2017-02-20,1976
2017-02-21,2149
2017-02-22,2077
2017-02-23,2039
2017-02-24,2093
2017-02-25,2169
2017-02-26,2034
2017-02-27,2170
2017-02-28,2494
2017-03-01,2669
2017-03-02,2593
2017-03-03,3860
2017-03-04,4312
2017-03-05,3422
2017-03-06,2813
2017-03-07,2501
2017-03-08,2196
2017-03-09,2406
2017-03-10,2504
2017-03-11,2411
2017-03-12,2397
2017-03-13,2859
2017-03-14,2577
2017-03-15,2453
2017-03-16,2659
2017-03-17,2643
2017-03-18,2301
2017-03-19,2314
2017-03-20,2686
2017-03-21,2605
2017-03-22,2603
2017-03-23,2387
2017-03-24,2219
2017-03-25,1796
2017-03-26,1990
2017-03-27,2419
2017-03-28,2465
2017-03-29,2473
2017-03-30,2456
2017-03-31,2188
2017-04-01,1892
2017-04-02,2066
2017-04-03,2533
2017-04-04,2453
2017-04-05,2304
2017-04-06,2380
2017-04-07,2186
2017-04-08,2024
2017-04-09,1832
2017-04-10,2373
2017-04-11,2387
2017-04-12,2473
2017-04-13,2484
2017-04-14,2117
2017-04-15,1731
2017-04-16,1929
2017-04-17,3051
2017-04-18,3189
2017-04-19,2588
2017-04-20,2487
2017-04-21,2514
2017-04-22,2125
2017-04-23,1896
2017-04-24,3081
2017-04-25,2593
2017-04-26,2614
2017-04-27,2587
2017-04-28,2460
2017-04-29,2104
2017-04-30,2160
2017-05-01,2936
2017-05-02,3140
2017-05-03,3030
2017-05-04,3888
2017-05-05,3490
2017-05-06,2944
2017-05-07,3102
2017-05-08,3888
2017-05-09,4182
2017-05-10,4223
2017-05-11,4056
2017-05-12,4013
2017-05-13,4235
2017-05-14,4181
2017-05-15,9681
2017-05-16,9565
2017-05-17,8483
2017-05-18,7081
2017-05-19,6399
2017-05-20,4988
2017-05-21,5469
2017-05-22,10248
2017-05-23,9742
2017-05-24,10095
2017-05-25,10795
2017-05-26,8452
2017-05-27,5860
2017-05-28,5246
2017-05-29,6428
2017-05-30,6830
2017-05-31,6898
2017-06-01,6701
2017-06-02,5952
2017-06-03,5825
2017-06-04,5201
2017-06-05,7041
2017-06-06,8656
2017-06-07,8785
2017-06-08,7086
2017-06-09,6592
2017-06-10,5905
2017-06-11,7019
2017-06-12,9693
2017-06-13,9642
2017-06-14,9141
2017-06-15,7802
2017-06-16,7283
2017-06-17,5809
2017-06-18,6275
2017-06-19,7424
2017-06-20,8534
2017-06-21,8455
2017-06-22,8319
2017-06-23,7531
2017-06-24,6419
2017-06-25,5637
2017-06-26,7353
2017-06-27,8339
2017-06-28,8756
2017-06-29,7732
2017-06-30,6307
2017-07-01,4898
2017-07-02,5210
2017-07-03,6374
2017-07-04,7700
2017-07-05,6765
2017-07-06,6777
2017-07-07,6906
2017-07-08,5479
2017-07-09,7939
2017-07-10,7617
2017-07-11,8028
2017-07-12,7342
2017-07-13,7669
2017-07-14,6425
2017-07-15,5105
2017-07-16,5180
2017-07-17,6668
2017-07-18,6859
2017-07-19,6302
2017-07-20,6955
2017-07-21,6417
2017-07-22,5258
2017-07-23,5602
2017-07-24,6804
2017-07-25,6791
2017-07-26,6462
2017-07-27,6167
2017-07-28,5644
2017-07-29,4789
2017-07-30,4591
2017-07-31,5699
2017-08-01,6811
2017-08-02,7722
2017-08-03,6243
2017-08-04,5555
2017-08-05,5033
2017-08-06,5108
2017-08-07,6787
2017-08-08,7831
2017-08-09,7385
2017-08-10,7460
2017-08-11,7238
2017-08-12,5900
2017-08-13,6903
2017-08-14,9214
2017-08-15,8469
2017-08-16,8281
2017-08-17,8163
2017-08-18,7363
2017-08-19,6403
2017-08-20,6331
2017-08-21,7669
2017-08-22,8438
2017-08-23,8607
2017-08-24,8417
2017-08-25,7335
2017-08-26,6481
2017-08-27,6544
2017-08-28,7506
2017-08-29,8293
2017-08-30,8826
2017-08-31,9427
2017-09-01,8666
