Date,"Ethereum"
2015-07-01,254
2015-07-02,222
2015-07-03,245
2015-07-04,275
2015-07-05,207
2015-07-06,268
2015-07-07,286
2015-07-08,276
2015-07-09,247
2015-07-10,191
2015-07-11,176
2015-07-12,184
2015-07-13,305
2015-07-14,344
2015-07-15,289
2015-07-16,233
2015-07-17,220
2015-07-18,196
2015-07-19,189
2015-07-20,212
2015-07-21,303
2015-07-22,460
2015-07-23,400
2015-07-24,294
2015-07-25,243
2015-07-26,282
2015-07-27,616
2015-07-28,620
2015-07-29,518
2015-07-30,1158
2015-07-31,1326
2015-08-01,911
2015-08-02,886
2015-08-03,925
2015-08-04,829
2015-08-05,841
2015-08-06,914
2015-08-07,925
2015-08-08,793
2015-08-09,720
2015-08-10,713
2015-08-11,686
2015-08-12,918
2015-08-13,1071
2015-08-14,1054
2015-08-15,610
2015-08-16,600
2015-08-17,651
2015-08-18,642
2015-08-19,642
2015-08-20,678
2015-08-21,540
2015-08-22,379
2015-08-23,414
2015-08-24,529
2015-08-25,608
2015-08-26,572
2015-08-27,519
2015-08-28,433
2015-08-29,375
2015-08-30,351
2015-08-31,532
2015-09-01,500
2015-09-02,480
2015-09-03,544
2015-09-04,455
2015-09-05,340
2015-09-06,421
2015-09-07,549
2015-09-08,528
2015-09-09,625
2015-09-10,509
2015-09-11,411
2015-09-12,411
2015-09-13,454
2015-09-14,510
2015-09-15,777
2015-09-16,1082
2015-09-17,855
2015-09-18,838
2015-09-19,712
2015-09-20,923
2015-09-21,1012
2015-09-22,916
2015-09-23,930
2015-09-24,881
2015-09-25,717
2015-09-26,559
2015-09-27,573
2015-09-28,705
2015-09-29,734
2015-09-30,783
2015-10-01,609
2015-10-02,624
2015-10-03,528
2015-10-04,507
2015-10-05,597
2015-10-06,679
2015-10-07,663
2015-10-08,595
2015-10-09,571
2015-10-10,456
2015-10-11,447
2015-10-12,637
2015-10-13,685
2015-10-14,555
2015-10-15,544
2015-10-16,476
2015-10-17,337
2015-10-18,333
2015-10-19,691
