Date,"Litecoin"
2015-07-01,276
2015-07-02,238
2015-07-03,229
2015-07-04,201
2015-07-05,245
2015-07-06,402
2015-07-07,344
2015-07-08,401
2015-07-09,492
2015-07-10,430
2015-07-11,280
2015-07-12,362
2015-07-13,327
2015-07-14,292
2015-07-15,236
2015-07-16,238
2015-07-17,250
2015-07-18,192
2015-07-19,186
2015-07-20,233
2015-07-21,245
2015-07-22,220
2015-07-23,248
2015-07-24,323
2015-07-25,250
2015-07-26,233
2015-07-27,229
2015-07-28,248
2015-07-29,636
2015-07-30,438
2015-07-31,220
2015-08-01,218
2015-08-02,199
2015-08-03,195
2015-08-04,219
2015-08-05,211
2015-08-06,223
2015-08-07,207
2015-08-08,166
2015-08-09,188
2015-08-10,226
2015-08-11,219
2015-08-12,212
2015-08-13,181
2015-08-14,212
2015-08-15,152
2015-08-16,190
2015-08-17,206
2015-08-18,214
2015-08-19,291
2015-08-20,248
2015-08-21,209
2015-08-22,173
2015-08-23,204
2015-08-24,226
2015-08-25,264
2015-08-26,202
2015-08-27,231
2015-08-28,189
2015-08-29,193
2015-08-30,174
2015-08-31,199
2015-09-01,221
2015-09-02,183
2015-09-03,185
2015-09-04,150
2015-09-05,186
2015-09-06,195
2015-09-07,213
2015-09-08,212
2015-09-09,193
2015-09-10,166
2015-09-11,182
2015-09-12,183
2015-09-13,186
2015-09-14,232
2015-09-15,188
2015-09-16,211
2015-09-17,208
2015-09-18,189
2015-09-19,159
2015-09-20,183
2015-09-21,233
2015-09-22,202
2015-09-23,178
2015-09-24,201
2015-09-25,195
2015-09-26,156
2015-09-27,186
2015-09-28,197
2015-09-29,214
2015-09-30,219
2015-10-01,196
2015-10-02,186
2015-10-03,167
2015-10-04,171
2015-10-05,234
2015-10-06,201
2015-10-07,226
2015-10-08,203
2015-10-09,193
2015-10-10,143
2015-10-11,170
2015-10-12,209
2015-10-13,221
2015-10-14,221
2015-10-15,206
2015-10-16,196
2015-10-17,137
2015-10-18,153
2015-10-19,196
2015-10-20,203
2015-10-21,204
2015-10-22,353
2015-10-23,439
2015-10-24,337
2015-10-25,328
2015-10-26,558
2015-10-27,412
2015-10-28,306
2015-10-29,402
2015-10-30,222
2015-10-31,204
2015-11-01,260
2015-11-02,268
2015-11-03,317
2015-11-04,380
2015-11-05,364
2015-11-06,279
2015-11-07,276
2015-11-08,256
2015-11-09,302
2015-11-10,290
2015-11-11,257
2015-11-12,243
2015-11-13,254
2015-11-14,192
2015-11-15,196
2015-11-16,192
2015-11-17,237
2015-11-18,219
2015-11-19,202
2015-11-20,207
2015-11-21,183
2015-11-22,201
2015-11-23,337
2015-11-24,193
2015-11-25,213
2015-11-26,211
2015-11-27,201
2015-11-28,197
2015-11-29,216
2015-11-30,246
2015-12-01,251
2015-12-02,249
2015-12-03,223
2015-12-04,212
2015-12-05,210
